ZCTA,total_pop,white_count,black_count,native_count,asian_count,hispanic_count,median_income,below_poverty,pct_white,pct_black,pct_native,pct_asian,pct_hispanic
00704,6433,0,102,0,0,6331,23330,2788,0.0,0.015855743820923363,0.0,0.0,0.9841442561790766
00705,24475,34,0,0,0,24427,21806,10901,0.0013891726251276813,0.0,0.0,0.0,0.9980388151174668
00707,10400,38,0,0,0,10362,19173,5520,0.003653846153846154,0.0,0.0,0.0,0.9963461538461539
00714,15573,58,0,0,0,15474,18931,8463,0.0037243947858473,0.0,0.0,0.0,0.9936428433827779
00715,2003,0,0,0,0,2003,15743,1329,0.0,0.0,0.0,0.0,1.0
00716,27705,157,73,0,0,27459,19522,13557,0.005666847139505504,0.002634903447031222,0.0,0.0,0.9911207363291824
00717,14651,111,0,0,12,14497,13282,7520,0.007576274657019998,0.0,0.0,0.0008190567196778377,0.9894887720974678
00718,23174,111,105,0,0,22928,21481,11068,0.0047898506947441095,0.004530939846379563,0.0,0.0,0.9893846552170535
00719,29732,0,0,0,1,29720,21089,15034,0.0,0.0,0.0,3.36337952374546e-05,0.9995963944571505
00720,20974,119,0,0,0,20825,19049,10894,0.005673691236769333,0.0,0.0,0.0,0.9928959664346334
00723,15835,0,0,0,0,15835,23599,7528,0.0,0.0,0.0,0.0,1.0
00725,76246,1060,146,0,40,74728,27505,30008,0.013902368648847153,0.001914854549746872,0.0,0.0005246176848621567,0.9800907588594812
00727,53412,558,95,0,0,52533,33403,16884,0.010447090541451359,0.0017786265258743353,0.0,0.0,0.9835430240395416
00728,37322,87,42,0,74,37080,20351,18025,0.0023310647875247844,0.001125341621563689,0.0,0.00198274476180269,0.9935158887519425
00729,47653,26,16,0,0,47611,28765,15732,0.000545610979371708,0.00033576060269028185,0.0,0.0,0.999118628417938
00730,31976,212,71,0,0,31693,18077,16527,0.0066299724793595196,0.0022204153114836127,0.0,0.0,0.9911496122091569
00731,10221,0,0,0,0,10221,16917,5744,0.0,0.0,0.0,0.0,1.0
00735,11159,141,0,0,56,10962,23009,4630,0.01263554081906981,0.0,0.0,0.005018370821758222,0.9823460883591719
00736,45528,20,18,0,71,45378,28652,16803,0.00043929010718678614,0.00039536109646810753,0.0,0.001559479880513091,0.9967053241960991
00738,29797,164,24,0,14,29553,25365,12093,0.0055039097895761314,0.0008054502131087022,0.0,0.000469845957646743,0.9918112561667282
00739,34595,41,61,0,0,34484,26801,12705,0.0011851423616129498,0.0017632605867899985,0.0,0.0,0.9967914438502674
00740,1959,49,0,0,0,1910,23173,1021,0.025012761613067893,0.0,0.0,0.0,0.9749872383869321
00741,3733,28,0,0,0,3705,25827,1901,0.007500669702652022,0.0,0.0,0.0,0.9924993302973479
00745,47077,196,45,0,84,46719,26980,17184,0.004163391889882533,0.0009558807910444591,0.0,0.001784310809949657,0.9923954372623575
00751,19596,42,44,0,0,19479,20947,9591,0.0021432945499081446,0.0022453561951418658,0.0,0.0,0.9940293937538273
00754,36822,6,16,0,103,36697,21193,16503,0.00016294606485253382,0.00043452283960675685,0.0,0.0027972407799684972,0.9966052903155722
00757,19974,56,39,0,31,19848,23350,9079,0.0028036447381596073,0.0019525382997897267,0.0,0.0015520176229097827,0.9936917993391409
