ZCTA,total_arrests,felonies,misdemeanors,violations,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN / PACIFIC ISLANDER,BLACK,BLACK HISPANIC,UNKNOWN,WHITE,WHITE HISPANIC,total_pop,white_count,black_count,native_count,asian_count,hispanic_count,median_income,below_poverty,pct_white,pct_black,pct_native,pct_asian,pct_hispanic,arrest_rate_per_1000,HISPANIC_ARRESTS,black_arrest_rate_per_1000,white_arrest_rate_per_1000,asian_pacific_islander_arrest_rate_per_1000,american_indian/alaskan_native_arrest_rate_per_1000,hispanic_arrest_rate_per_1000
00083,172,75,97,0,4,3,65,20,6,31,43,,,,,,,,,,,,,,,63,,,,,
10001,4041,1660,2291,8,14,116,1798,371,106,492,1144,29079.0,14221.0,2923.0,0.0,5228.0,5547.0,123393.0,4293.0,0.4890470786478214,0.1005192750782351,0.0,0.1797860999346607,0.1907562158258537,138.96626431445372,1515,615.1214505644886,34.59672315589621,22.188217291507268,,273.12060573282855
10002,2107,947,1137,8,1,166,924,209,24,212,571,75517.0,19896.0,6595.0,69.0,27597.0,18646.0,46525.0,18611.0,0.2634638558205437,0.0873313293695459,0.0009137015506442,0.3654408941033145,0.2469112914972787,27.901002423295417,780,140.10614101592114,10.655408122235626,6.01514657390296,14.492753623188406,41.83202831706532
10003,1742,856,877,8,4,60,822,156,32,265,403,53825.0,34480.0,2359.0,68.0,9630.0,5285.0,153750.0,5614.0,0.6405945192754297,0.0438272178355782,0.0012633534602879,0.1789131444496052,0.0981885740826753,32.36414305620065,559,348.4527342094108,7.685614849187934,6.230529595015576,58.8235294117647,105.77105014191108
10004,61,17,44,0,0,5,31,2,2,10,11,3875.0,2388.0,267.0,0.0,923.0,189.0,220592.0,157.0,0.6162580645161291,0.0689032258064516,0.0,0.2381935483870967,0.0487741935483871,15.741935483870966,13,116.10486891385769,4.187604690117253,5.417118093174431,,68.78306878306879
10005,87,21,60,0,1,5,24,6,1,20,30,9238.0,6123.0,405.0,0.0,1311.0,935.0,211810.0,424.0,0.6628058021216714,0.0438406581511149,0.0,0.1419138341632388,0.1012123836328209,9.417622862091362,36,59.25925925925926,3.2663726931242856,3.8138825324180012,,38.50267379679145
10006,149,30,118,1,2,10,35,18,0,26,58,4475.0,2807.0,271.0,0.0,1058.0,125.0,209972.0,580.0,0.6272625698324023,0.060558659217877,0.0,0.2364245810055865,0.0279329608938547,33.296089385474865,76,129.15129151291512,9.262557890986818,9.45179584120983,,608.0
10007,692,100,196,1,0,68,251,80,9,103,181,7802.0,4719.0,684.0,0.0,1164.0,1016.0,250001.0,232.0,0.6048449115611382,0.0876698282491668,0.0,0.1491925147398103,0.1302230197385286,88.69520635734426,261,366.95906432748535,21.826658190294552,58.419243986254294,,256.8897637795275
10009,622,257,360,2,3,23,249,44,5,99,199,58341.0,29544.0,4437.0,94.0,7415.0,14245.0,87963.0,11359.0,0.5064020157350748,0.0760528616239008,0.0016112168115047,0.1270975814607223,0.244167909360484,10.661455922935843,243,56.11899932386748,3.3509341998375306,3.1018206338503034,31.914893617021274,17.058617058617056
10010,1218,637,572,4,5,53,618,105,10,205,222,31905.0,20040.0,2839.0,112.0,4517.0,2701.0,156127.0,2696.0,0.6281147155618242,0.088982918037925,0.0035104215640181,0.1415765553988403,0.0846575771822598,38.1758345086977,327,217.68228249383586,10.229540918163673,11.733451405800311,44.642857142857146,121.06627175120326
10011,1766,731,886,3,5,83,749,190,16,311,412,49344.0,33431.0,1859.0,0.0,5091.0,6398.0,146571.0,4295.0,0.6775089169909209,0.0376742866407263,0.0,0.1031736381322957,0.1296611543450065,35.789559014267184,602,402.90478752017214,9.302742963118064,16.303280298566094,,94.09190371991247
